descrip,seriesID,date,cpi-value
Food & Bev.,CUURA316SAF,February-1985,106.3
Food & Bev.,CUURA316SAF,April-1985,107.0
Food & Bev.,CUURA316SAF,June-1985,107.5
Food & Bev.,CUURA316SAF,August-1985,106.9
Food & Bev.,CUURA316SAF,October-1985,107.0
Food & Bev.,CUURA316SAF,December-1985,109.0
Food & Bev.,CUURA316SAF,February-1986,110.0
Food & Bev.,CUURA316SAF,April-1986,110.1
Food & Bev.,CUURA316SAF,June-1986,110.6
Food & Bev.,CUURA316SAF,August-1986,111.9
Food & Bev.,CUURA316SAF,October-1986,112.6
Food & Bev.,CUURA316SAF,December-1986,112.8
Food & Bev.,CUURA316SAF,February-1987,115.6
Food & Bev.,CUURA316SAF,April-1987,114.5
Food & Bev.,CUURA316SAF,June-1987,116.2
Food & Bev.,CUURA316SAF,August-1987,116.1
Food & Bev.,CUURA316SAF,October-1987,117.3
Food & Bev.,CUURA316SAF,December-1987,116.9
Food & Bev.,CUURA316SAF,February-1988,117.5
Food & Bev.,CUURA316SAF,April-1988,118.3
Food & Bev.,CUURA316SAF,June-1988,119.9
Food & Bev.,CUURA316SAF,August-1988,120.8
Food & Bev.,CUURA316SAF,October-1988,122.4
Food & Bev.,CUURA316SAF,December-1988,123.1
Food & Bev.,CUURA316SAF,February-1989,124.4
Food & Bev.,CUURA316SAF,April-1989,124.8
Food & Bev.,CUURA316SAF,June-1989,124.9
Food & Bev.,CUURA316SAF,August-1989,125.3
Food & Bev.,CUURA316SAF,October-1989,126.6
Food & Bev.,CUURA316SAF,December-1989,127.9
Food & Bev.,CUURA316SAF,February-1990,129.6
Food & Bev.,CUURA316SAF,April-1990,130.7
Food & Bev.,CUURA316SAF,June-1990,130.5
Food & Bev.,CUURA316SAF,August-1990,131.5
Food & Bev.,CUURA316SAF,October-1990,132.0
Food & Bev.,CUURA316SAF,December-1990,134.1
Food & Bev.,CUURA316SAF,February-1991,134.7
Food & Bev.,CUURA316SAF,April-1991,135.5
Food & Bev.,CUURA316SAF,June-1991,138.2
Food & Bev.,CUURA316SAF,August-1991,136.6
Food & Bev.,CUURA316SAF,October-1991,135.6
Food & Bev.,CUURA316SAF,December-1991,138.0
Food & Bev.,CUURA316SAF,February-1992,139.6
Food & Bev.,CUURA316SAF,April-1992,138.6
Food & Bev.,CUURA316SAF,June-1992,137.2
Food & Bev.,CUURA316SAF,August-1992,138.1
Food & Bev.,CUURA316SAF,October-1992,138.6
Food & Bev.,CUURA316SAF,December-1992,137.9
Food & Bev.,CUURA316SAF,February-1993,138.1
Food & Bev.,CUURA316SAF,April-1993,139.3
Food & Bev.,CUURA316SAF,June-1993,139.1
Food & Bev.,CUURA316SAF,August-1993,138.3
Food & Bev.,CUURA316SAF,October-1993,137.6
Food & Bev.,CUURA316SAF,December-1993,142.5
Food & Bev.,CUURA316SAF,February-1994,140.2
Food & Bev.,CUURA316SAF,April-1994,141.4
Food & Bev.,CUURA316SAF,June-1994,142.3
Food & Bev.,CUURA316SAF,August-1994,143.3
Food & Bev.,CUURA316SAF,October-1994,142.8
Food & Bev.,CUURA316SAF,December-1994,143.9
