seriesID,date,CPI
CUURA316SA0,02-1994,139.2
CUURA316SA0,04-1994,140.3
CUURA316SA0,06-1994,141.4
CUURA316SA0,08-1994,142.2
CUURA316SA0,10-1994,142.8
CUURA316SA0,12-1994,141.9
CUURA316SA0,02-1995,143.3
CUURA316SA0,04-1995,145
CUURA316SA0,06-1995,144.4
CUURA316SA0,08-1995,145.1
CUURA316SA0,10-1995,146.8
CUURA316SA0,12-1995,145.5
CUURA316SA0,02-1996,146.2
CUURA316SA0,04-1996,148.5
CUURA316SA0,06-1996,149.4
CUURA316SA0,08-1996,149.5
CUURA316SA0,10-1996,150.7
CUURA316SA0,12-1996,150
CUURA316SA0,02-1997,150.7
CUURA316SA0,04-1997,150.6
CUURA316SA0,06-1997,151.4
CUURA316SA0,08-1997,151.2
CUURA316SA0,10-1997,152.8
CUURA316SA0,12-1997,152.5
CUURA316SA0,01-1998,152.1
CUURA316SA0,03-1998,153
CUURA316SA0,05-1998,153
CUURA316SA0,07-1998,154.2
CUURA316SA0,09-1998,154.5
CUURA316SA0,11-1998,154
CUURA316SA0,01-1999,155
CUURA316SA0,03-1999,156.4
CUURA316SA0,05-1999,157.2
CUURA316SA0,07-1999,158.3
CUURA316SA0,09-1999,159.8
CUURA316SA0,11-1999,160.1
CUURA316SA0,01-2000,160.4
CUURA316SA0,03-2000,163.1
CUURA316SA0,05-2000,163.2
CUURA316SA0,07-2000,166.2
CUURA316SA0,09-2000,166.9
CUURA316SA0,11-2000,166.8
CUURA316SA0,01-2001,167.3
CUURA316SA0,03-2001,168.9
CUURA316SA0,05-2001,169.4
CUURA316SA0,07-2001,171.5
CUURA316SA0,09-2001,172.8
CUURA316SA0,11-2001,171.5
CUURA316SA0,01-2002,170.6
CUURA316SA0,03-2002,172.1
CUURA316SA0,05-2002,172.9
CUURA316SA0,07-2002,172.9
CUURA316SA0,09-2002,173.2
CUURA316SA0,11-2002,173.6
CUURA316SA0,01-2003,174
CUURA316SA0,03-2003,176.8
CUURA316SA0,05-2003,176.9
CUURA316SA0,07-2003,176.5
CUURA316SA0,09-2003,177
CUURA316SA0,11-2003,175.9
CUURA316SA0,01-2004,175.7
CUURA316SA0,03-2004,177.7
CUURA316SA0,05-2004,179.1
CUURA316SA0,07-2004,179.1
CUURA316SA0,09-2004,179.7
CUURA316SA0,11-2004,179.9
CUURA316SA0,01-2005,180
CUURA316SA0,03-2005,181.3
CUURA316SA0,05-2005,183.5
CUURA316SA0,07-2005,184.3
CUURA316SA0,09-2005,188.9
CUURA316SA0,11-2005,187.8
CUURA316SA0,01-2006,188.6
CUURA316SA0,03-2006,188.4
CUURA316SA0,05-2006,191.2
CUURA316SA0,07-2006,191.7
CUURA316SA0,09-2006,192
CUURA316SA0,11-2006,188.4
CUURA316SA0,01-2007,188.89
CUURA316SA0,03-2007,190.156
CUURA316SA0,05-2007,192.779
CUURA316SA0,07-2007,194.286
CUURA316SA0,09-2007,194.847
CUURA316SA0,11-2007,196.465
CUURA316SA0,01-2008,197.079
CUURA316SA0,03-2008,198.596
CUURA316SA0,05-2008,202.357
CUURA316SA0,07-2008,206.413
CUURA316SA0,09-2008,205.883
CUURA316SA0,11-2008,200.051
CUURA316SA0,01-2009,198.623
CUURA316SA0,03-2009,200.039
CUURA316SA0,05-2009,199.311
CUURA316SA0,07-2009,200.663
CUURA316SA0,09-2009,201.802
CUURA316SA0,11-2009,201.958
CUURA316SA0,01-2010,202.106
CUURA316SA0,03-2010,201.982
CUURA316SA0,05-2010,202.108
CUURA316SA0,07-2010,200.227
CUURA316SA0,09-2010,201.882
CUURA316SA0,11-2010,201.168
CUURA316SA0,01-2011,203.199
CUURA316SA0,03-2011,206.967
CUURA316SA0,05-2011,208.794
CUURA316SA0,07-2011,208.602
CUURA316SA0,09-2011,209.255
CUURA316SA0,11-2011,209.283
CUURA316SA0,01-2012,209.203
CUURA316SA0,03-2012,212.618
CUURA316SA0,05-2012,212.226
CUURA316SA0,07-2012,211.267
CUURA316SA0,09-2012,214.033
CUURA316SA0,11-2012,212.901
CUURA316SA0,01-2013,213.696
CUURA316SA0,03-2013,216.465
CUURA316SA0,05-2013,215.67
CUURA316SA0,07-2013,216.979
CUURA316SA0,09-2013,217.068
CUURA316SA0,11-2013,215.45
CUURA316SA0,01-2014,216.291
CUURA316SA0,03-2014,218.715
CUURA316SA0,05-2014,219.59
CUURA316SA0,07-2014,219.543
CUURA316SA0,09-2014,219.38
CUURA316SA0,11-2014,217.188
CUURA316SA0,01-2015,214.899
CUURA316SA0,03-2015,217.487
